Champion name,Owned,Possible chest
aatrox,1,1
ahri,1,1
akali,1,1
alistar,0,0
amumu,1,1
anivia,1,0
annie,0,0
ashe,1,0
aurelion sol,1,0
azir,1,1
bard,1,0
blitzcrank,0,0
brand,1,0
braum,0,0
caitlyn,1,0
camille,0,0
cassiopeia,0,0
cho'gath,0,0
corki,0,0
darius,0,0
diana,0,0
dr mundo,0,0
draven,0,0
ekko,0,0
elise,0,0
evelynn,0,0
ezreal,0,0
fiddlesticks,0,0
fiora,0,0
fizz,0,0
galio,0,0
gangplank,0,0
garen,0,0
gnar,0,0
gragas,0,0
graves,0,0
hecarim,0,0
heimerdinger,0,0
illaoi,0,0
irelia,0,0
ivern,0,0
janna,0,0
jarvan iv,0,0
jax,0,0
jayce,0,0
jhin,0,0
jinx,0,0
kai'sa,0,0
kalista,0,0
karma,0,0
karthus,0,0
kassadin,0,0
katarina,0,0
kayle,0,0
kayn,0,0
kennen,0,0
kha'zix,0,0
kindred,0,0
kled,0,0
kog'maw,0,0
leblanc,0,0
lee sin,0,0
leona,0,0
lissandra,0,0
lucian,0,0
lulu,0,0
lux,0,0
malphite,0,0
malzahar,0,0
maokai,0,0
master yi,0,0
miss fortune,0,0
mordekaiser,0,0
morgana,0,0
nami,0,0
nasus,0,0
nautilus,0,0
neeko,0,0
nidalee,0,0
nocturne,0,0
nunu i willump,0,0
olaf,0,0
orianna,0,0
ornn,0,0
pantheon,0,0
poppy,0,0
pyke,0,0
quinn,0,0
rakan,0,0
rammus,0,0
rek'sai,0,0
renekton,0,0
rengar,0,0
riven,0,0
rumble,0,0
ryze,0,0
sejuani,0,0
shaco,0,0
shen,0,0
shyvana,0,0
singed,0,0
sion,0,0
sivir,0,0
skarner,0,0
sona,0,0
soraka,0,0
swain,0,0
syndra,0,0
tahm kench,0,0
taliyah,0,0
talon,0,0
taric,0,0
teemo,0,0
thresh,0,0
tristana,0,0
trundle,0,0
tryndamere,0,0
twisted fate,0,0
twitch,0,0
udyr,0,0
urgot,0,0
varus,0,0
vayne,0,0
veigar,0,0
vel'koz,0,0
vi,0,0
viktor,0,0
vladimir,0,0
volibear,0,0
warwick,0,0
wukong,0,0
xayah,0,0
xerath,0,0
xin zhao,0,0
yasuo,0,0
yoric,0,0
zac,0,0
zed,0,0
ziggs,0,0
zilean,0,0
zoe,0,0
zyra,0,0
